context,emotional_conclusion
Anak ibu Dewi baru 44 hari.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Anisa baru saja lahir.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Lisa diajarkan cara berjalan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raja ingin membawa anaknya belajar mengaji.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Andi yang duduk di bangku SMP meminta izin untuk keluar rumah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Asila diterima berkerja di Jakarta.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Ihsan merupakan imum meunasah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sebelum mayat dimandikan mayat akan dibaringkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Zainab sudah meninggal selama 44 hari.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dewi ingin pergi melayat orang meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dodi memilih pakaian untuk melayat ke rumah temannya yang baru saja meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Mutasir seharusnya mendapatkan sepetak tanah, namun kakak Mutasir tidak meberikan hak tersebut.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raja membawa pulang daging sehari sebelum puasa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek ingin memakan bubur khas Aceh untuk buka puasa.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Risa membeli daging di pasar.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Zaki memasak bubur bersama orang kampung di mesjid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nailis akan memakai pakaian haji.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga Cut baru saja pulang shalat ied.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rafif akan menghias mobil dengan tema hari Raya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mhayar diundang kerumah saudara saat lebaran.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Zia bersiap pergi ke mesjid saat hari maulid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mama menghidangkan makanan maulid di rantang untuk diantar ke mesjid.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Yanti pergi ke blang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Beni seorang petani yang berasal dari Aceh Selatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah Beni ingin mengolah tanah blang untuk ditanami padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lila ingin tabu beni padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Safrizal mengadakan acara kanuri blang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sari sekeluarga bergama Islam, dan ayahnya memelihara binatang ternak.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sapi Beni yang ada di kandang kehabisan makanan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Dedi seorang nelayan yang menangkap ikan dengan cara tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raja ingin beternak udang Vaname.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dua hari lagi lebaran dewi ingin menjual daging.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Arbab adalah alak musik tradisional .,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tarian ranup lapuan dimainkan bersamaan dengan iringan musik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rania ingin mengikuti lomba bernyanyi lagu khas Aceh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Asad ingin menyanyikan lagu untuk penyambutan tamu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mutia menidurkan anaknya dengan menyanyikan lagu tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tarian ranup lampuan dimainkan secara berkelompok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tarian ini menceritakan tentang kegiatan nelayan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Desi dan teman-teman menampilkan tarian tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raisa membuat acara penyabutan tamu di acara pestanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Risan baru saja mengelar acara sunatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Fajar dan teman sedang berlatih untuk acara pertunjukan Gayo Festifal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakak Dinah mengadakan acara intat lintô.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek Dian mendengarkan kisah tentang kehidupan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Budi bermain galah di lapangan bersama teman-teman.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rina dan teman-teman ingin bermain dengan alat kapur tulis dan pecahan keramik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lisa mengajak temannya bermain permainan dengan cara tutup mata.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lena ingin bermain di depan halaman rumah bersama teman-temannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Budi dan Roni ingin bermain Catoe Rimueng.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Beni dan teman ingin bermain game online.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek ingin pergi ke pasar di hari minggu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ali menunduk ketika masuk ke rumah aceh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raisa tinggal di daerah yang rawan gempa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sultan pergi keluar malam untuk mengaji.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raja ingin shalat jumat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Cut membawa Al-Quran ke sekolah di hari Jumat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Musfira melewati jembatan Seunapet.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Raisa sedang hamil dan ingin keluar malam.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Desi mempesijuk anaknya di acara khitan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hasna menabung gaji pertamanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Desi baru saja melahirkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rahma sedang naik kolestrol.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agus pergi ke kedai untuk membeli sarapan khas Aceh.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Wanti pergi ke warung untuk makan siang khas Aceh.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Buk Sari menyiapkan makanan makan siang khas Aceh.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Buk Dewi memasak untuk makan malam khas Aceh.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Buk Sari memasak untuk makan malam khas Aceh.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Dini bertamu ke rumah neneknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aldi baru pulang dari kampungnya di gayo.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sinta baru pulang berlibur dari pidie.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Wiwi baru pulang berlibur dari nagan raya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Anton pulang ke kampung halaman nya di Meulaboh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Azizi pergi ke acara maulid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aldi makan siang di rumah.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Buk Sari ingin menghaluskan bahan masakannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Santi sedang berlibur ke Aceh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yuni dan kawan nya akan berlibur ke laut di hari minggu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sukma akan mengadakan hajatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk lilis membuat rujak untuk acara arisan dirumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dedi pulang dari rumah saudaranya di Krung Raya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adinda akan menikah beberapa hari ke depan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Cinta akan melangsungkan pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Luna akan melangsungkan acara pernikahan lusa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aldi dan Rina hari ini akan menikah dengan tradisi Aceh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Arif dan Wanda akan menikah hari ini.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Alif dan Wirda sedang melaksanakan pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Luna baru saja melangsungkan pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yanti baru saja melangsungkan pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ali memakai pakaian adat Aceh di acara pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aldia memakai pakaian adat Aceh di acara pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti memakai pakaian adat Aceh di acara pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nadia memakai pakaian adat Aceh di acara pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Citra akan menikah dua minggu lagi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dinda menghadiri undangan pernikahan kawannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Luna akan mengadakan pesta pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Laila menghadiri pernikahan kawannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keponakan buk Tuti akan merayakan pesta pernikahan besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kawan Icha merayakan pesta pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ali dan Raya baru saja menikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ali dan Raya memiliki seorang anak perempuan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ali dan Raya memiliki seorang anak laki-laki.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mamak Raya memiliki kakak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mamak Raya memiliki seorang ibu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Chika kehilangan blender nya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Sinta baru pindah ke rumah barunya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Ririn sedang terkena musibah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Chika mengadakan acara hajatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Teuku Aldi merupakan keturunan teuku.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Said Ali merupakan keturunan said.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ali mendapat kabar istrinya hamil.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti sedang hamil.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti sedang hamil.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti sedang hamil 8 bulan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Hawa baru siap melahirkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Laila baru siap melahirkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti baru saja melahirkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti baru saja melahirkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Siti sudah beranjak balita.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti memiliki seorang anak balita.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Siti sudah mulai bisa berbicara.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Siti sudah mulai sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Siti sudah memasuki masa remaja.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak Siti sudah beranjak dewasa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak siti Siti beranjak dewasa.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Ali telah meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Ali telah meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Ali telah meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Ali telah dikuburkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Ali telah dikuburkan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Badrul pergi melayat ke rumah Ali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siti pergi melayat ke rumah Ali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Ali meinggalkan warisan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Ani dan keluarga akan merayakan hari raya idul fitri besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk siti dan keluarga akan menjalankan ibadah puasa untuk satu bulan kedepan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Putri akan merayakan lebaran seminggu lagi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Beberapa hari lagi buk Citra akan memasuki bulan ramadhan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Besok adalah hari pertama ramadhan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Sisi melakukan buka puasa bersama besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kampung Blang Ara hari ini merayakan maulid nabi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
